title,vector
Rocky II,"[0.08825691, -0.3185679, -0.06870014, 0.02414387, -0.10238038, 0.21912514, 0.14839196, 0.1470885, 0.2187033, 0.28144056, -0.1235607, -0.11782309, -0.1823408, 0.02704245, 0.01207241, -0.16840015, -0.13020618, 0.24127562, 0.1361114, -0.03149437, -0.19993903, 0.23522536, -0.08449114, -0.37593028, 0.29434282, -0.11476104, 0.36826947, 0.13191772, 0.06163997, 0.20101868, -0.13624649, 0.04812362, 0.33913618, -0.14560534, 0.04526369, -0.16301344, 0.15398256, -0.12989676, -0.02707724, 0.00366151, -0.23882526, 0.114859, -0.11107825, 0.12170136, 0.01452716, 0.17708758, 0.07153797, 0.17459713, 0.28012958, -0.20289272, -0.3482333, 0.23047264, -0.08642526, -0.22975229, -0.11014944, 0.08003566, -0.3033991, 0.02424434, 0.08915953, -0.11304211, 0.03697146, -0.41139585, -0.13714579, -0.0167536, 0.1684103, 0.06340139, 0.19304357, -0.20879668, -0.03002645, 0.17342415, -0.01151942, 0.12950774, 0.00364955, -0.05124166, -0.152254, -0.15831828, -0.250325, -0.18798684, 0.11802819, -0.08452431, -0.01853874, -0.00155725, -0.29657993, -0.02116942, 0.10445167, 0.19868346, 0.18720426, 0.08984974, -0.28344297, 0.35614327, -0.18743132, -0.18097861, 0.26894563, 0.20823471, -0.2097869, 0.02918246]"
Leviathan,"[-0.02879091, -0.28862682, -0.02321799, -0.01951337, -0.05000603, -0.01336285, 0.3549441, 0.04893455, 0.09572456, 0.22668523, -0.09221252, -0.09838109, -0.2057026, 0.08616515, -0.07925688, -0.04525908, -0.20214765, 0.07452687, 0.06991207, 0.05706865, -0.19185656, 0.28774992, -0.02132078, -0.31664306, 0.31339636, -0.20439063, 0.36262667, -0.04585842, 0.23378284, 0.1669382, 0.1393766, 0.04304255, 0.28903902, -0.39987388, 0.13596721, -0.0289175, 0.24048692, 0.06335453, 0.06866739, -0.13763477, -0.38769707, 0.4357059, -0.06356159, 0.17968641, 0.08379687, 0.09429404, -0.08225846, 0.181439, 0.09093974, -0.26431772, -0.44659176, 0.09779514, 0.02333735, -0.2559546, -0.11563372, 0.06357836, -0.23575447, 0.04100905, -0.20873736, -0.2870166, -0.00562182, -0.26923805, -0.07110731, -0.19062917, 0.056881, -0.04820012, 0.1965511, -0.02596743, 0.09278358, 0.30074665, 0.05008684, 0.13781258, 0.03569138, -0.14547633, -0.18722908, -0.216587, -0.12997003, -0.16001008, 0.10961436, -0.46910787, -0.00745488, 0.18690348, -0.27509296, -0.19016711, 0.14866051, 0.20079575, 0.23037149, 0.12798618, -0.49168983, 0.24830455, -0.19378056, 0.0095296, 0.37110952, 0.5277696, -0.3329157, -0.00119197]"
Holy Motors,"[0.2911734, -0.16006653, -0.10437758, 0.02741977, 0.05684948, 0.43801746, 0.06816535, 0.2388528, 0.33891222, -0.07853593, -0.02637297, -0.2544315, -0.33525577, -0.06040455, -0.11933388, -0.25169066, 0.01818973, 0.0522997, -0.09629027, -0.0997308, -0.14717913, 0.2913014, 0.00416095, -0.14893742, 0.08874697, 0.00249763, 0.36317116, 0.06470956, 0.4113552, 0.21034487, -0.13196272, -0.23693644, 0.6470463, -0.23739381, 0.09550941, -0.08586705, 0.34260568, 0.05936395, -0.00557544, -0.0328878, -0.50341815, 0.16149896, -0.21676965, -0.14497411, 0.19381274, 0.04776247, -0.2346999, 0.13518552, 0.24121076, 0.09003619, -0.26743534, 0.04150269, 0.04202132, -0.04792676, -0.05017947, 0.16412716, -0.0389633, 0.13445969, -0.18309113, -0.26021457, 0.02371277, -0.53443134, -0.11342566, -0.26765546, 0.10017915, -0.11384395, -0.02547101, -0.2540191, 0.04026835, 0.09638476, 0.04036672, 0.24452753, 0.2137412, -0.2947899, -0.34986836, -0.3889362, -0.21731277, 0.04848298, 0.2501228, -0.28911984, -0.09378641, -0.12564303, 0.01647411, 0.02983979, -0.19685583, 0.16117996, 0.06666855, 0.08400124, -0.17371036, 0.27990592, 0.0782431, 0.06257595, 0.22116031, 0.33738345, -0.20207275, 0.17466895]"
Elektra,"[-0.061434716, -0.291419744, 0.0198438745, 0.158520475, 0.0353126042, 0.542184353, 0.210968703, 0.2820324, 0.135094687, 0.00801489782, 0.0444811098, -0.327773809, -0.10313414, -0.123609409, -0.0957357734, 0.0359772556, 0.0775082484, 0.0338172466, -0.0103920382, -0.151250392, -0.269787103, 0.149646789, 0.00867298432, -0.185986489, 0.262368262, -0.120023832, 0.586698413, 0.059189111, 0.415624619, 0.03459993, 0.0329034291, 0.128500387, 0.33574158, -0.161336526, 0.0332605131, -0.373290569, 0.371289432, 0.217445284, -0.250355721, -0.116041914, -0.108757362, 0.583478034, 0.00935093872, 0.0104298787, -0.0710986704, 0.103314355, -0.23071377, 0.0681452528, 0.104475841, 0.114663057, -0.409969687, 0.143386409, 0.109588102, 0.0640984029, 0.00750684598, -0.0827481747, -0.441383451, 0.0812505335, -0.33764106, -0.0867883414, 0.0974034816, -0.478605777, 0.000449268584, -0.078946963, 0.136674866, 0.0301600359, 0.0903462693, -0.0075237141, 0.212484747, 0.218765482, -0.0421187766, 0.24554722, 0.0935687199, -0.0903740376, -0.21758993, -0.272028148, -0.519980311, -0.213594258, -0.0724427998, -0.370435506, -0.0425610356, -0.151236564, -0.127754956, -0.0823484138, -0.014820952, 0.26875782, 0.097767137, 0.356174409, -0.346571684, 0.506820738, 0.0186788701, 0.175157279, 0.221500903, 0.064249143, -0.339970022, -0.00815716665]"
National Treasure,"[0.15064493, -0.20670003, -0.244647, 0.06845126, 0.04920201, 0.14519604, 0.29136825, 0.21498413, 0.09258105, 0.48916048, -0.05488015, 0.0393011, -0.4681716, -0.29426432, -0.13047457, -0.23468658, -0.04707241, 0.343785, -0.11184554, -0.01014413, -0.31923407, -0.06974684, -0.08937655, -0.2120859, 0.24327873, -0.11887822, 0.53679615, 0.30622962, 0.12683459, 0.13754395, -0.14451747, -0.29325575, 0.34713787, 0.18315256, -0.04308481, -0.18890579, 0.17035808, 0.15119274, -0.17419238, -0.14011198, -0.1799883, 0.0677923, -0.2719384, 0.04261667, 0.05495973, 0.21925907, 0.05915619, 0.27507937, 0.26628932, -0.03708199, -0.6055603, 0.01220903, 0.09193408, -0.28883713, -0.21416746, 0.09761534, -0.07221869, -0.06059479, 0.27642253, -0.15614183, -0.08592795, -0.51621175, -0.03869412, 0.04092481, 0.15353192, -0.20376089, 0.24825096, -0.01886877, 0.15817857, 0.19966297, 0.31126165, 0.1664934, 0.22787437, -0.06100178, -0.20786531, -0.29762432, -0.50175697, -0.1935495, -0.21964836, -0.19284573, -0.07225734, 0.16285656, -0.23300683, -0.09351027, -0.1241498, -0.03782908, -0.02006439, 0.23192978, -0.53408146, 0.3170792, -0.18825075, -0.00520809, 0.6041887, 0.2795436, 0.20881262, 0.17429085]"
Cowboys & Angels,"[0.21454203, 0.0121134, -0.000817, 0.00475533, 0.07420063, -0.15866615, 0.35945544, -0.04356742, 0.28121865, 0.15511289, -0.15438867, -0.08747862, -0.16297588, -0.08818477, -0.06162709, -0.2591865, -0.29667762, 0.50865024, -0.01789721, -0.00806582, -0.09673281, 0.06104155, 0.10080227, -0.47387514, 0.2648316, -0.1846054, 0.42200214, 0.04418407, 0.20391187, 0.14147753, -0.05368309, -0.00624709, 0.2689881, -0.35937297, 0.00917823, -0.03363695, 0.18784688, 0.09876458, 0.0427637, -0.07984737, -0.14064133, 0.30434808, -0.30646172, 0.01280373, 0.12495479, 0.03749336, 0.05374843, 0.20269802, 0.07984917, -0.3155202, -0.33256766, 0.04472669, 0.17326221, -0.2024839, -0.2503396, 0.19730954, -0.33986008, 0.0871985, -0.08973909, 0.0149845, 0.14099137, -0.34898388, -0.23373492, -0.01165417, 0.2586409, 0.10191741, 0.23561195, -0.11252102, 0.1748943, 0.19413052, -0.01086661, 0.14141692, 0.01023757, 0.00168553, -0.32323375, -0.31132704, -0.23216043, -0.18349801, -0.01538011, -0.292791, -0.23510769, 0.21911839, -0.20275591, -0.21029349, 0.10858978, 0.22932003, -0.03565619, 0.02811206, -0.21374212, 0.1623233, -0.13284975, 0.12598214, 0.2850622, 0.45925623, -0.126678, -0.07720883]"
Cellular,"[-0.04763657, -0.13465059, 0.06040582, 0.11004093, -0.10569965, 0.00109471, 0.42307618, 0.05311124, -0.03108152, 0.28646123, -0.11973748, -0.04841676, -0.18659241, -0.13244234, -0.1052303, 0.07001752, -0.15873143, 0.22073218, -0.11250976, -0.01266874, -0.16661206, 0.08297849, -0.14360526, -0.4625736, 0.34913397, -0.44755152, 0.23495513, 0.3043954, -0.05092229, 0.00125851, -0.08399848, -0.01352286, 0.3319172, -0.1676371, 0.07330821, -0.12060957, -0.07410707, -0.10157335, -0.15351881, 0.22062212, -0.11440349, 0.34270406, -0.01123005, 0.4079538, 0.07433064, -0.02132999, -0.15874636, 0.31670043, 0.3296698, -0.11769965, -0.24956343, 0.08798771, -0.01659565, -0.46513435, 0.02251394, 0.0036545, -0.2939547, 0.14314812, -0.1822078, -0.13979757, 0.09646817, -0.18137765, -0.0116845, 0.03180939, 0.23937279, -0.14496244, 0.09611659, -0.00816339, 0.39994967, 0.0067156, -0.07879175, 0.30382296, -0.13242836, -0.19388866, -0.07964061, -0.32194772, -0.20764256, -0.14208372, -0.14882296, -0.31349355, -0.12841314, 0.16261537, -0.2665474, -0.11774626, 0.01731613, 0.01934553, 0.1663138, 0.12050191, -0.36346966, 0.5750242, -0.24282278, 0.11897071, 0.5256578, 0.39481816, -0.08976278, 0.06401342]"
Indiana Jones and the Kingdom of the Crystal Skull,"[0.21755777, -0.2796789, -0.16489884, 0.28514203, 0.03219946, 0.04227644, 0.14639653, 0.19859241, 0.11680873, 0.27795705, -0.04948673, 0.08830238, -0.41594195, -0.04457711, -0.24299078, -0.07180341, 0.01118167, 0.36369675, -0.08708935, 0.08788591, -0.46874455, 0.10906505, 0.01333403, -0.23061651, 0.20156191, -0.13007496, 0.74861234, 0.15243202, 0.17339835, 0.15978873, -0.05637419, -0.32218716, 0.40019652, 0.03616741, -0.09051339, -0.19138144, 0.09894401, 0.24072602, -0.13599932, -0.04866632, -0.13251649, -0.0377957, 0.00298644, 0.03017934, 0.08064716, 0.10552422, 0.06277564, 0.09409589, 0.11354484, -0.08297954, -0.6064312, 0.1382272, 0.06195758, -0.33118916, -0.32047674, 0.01242948, 0.06388889, 0.04433709, 0.2109306, -0.1482684, -0.07214, -0.52549386, -0.00555727, -0.17314193, -0.07930449, -0.20355105, 0.366233, -0.18815717, 0.17406762, 0.23139246, 0.1706485, 0.21617481, 0.18633696, -0.0996306, -0.14018525, -0.31616423, -0.43372345, -0.25214583, -0.08460352, -0.13304117, 0.01865215, 0.23851086, -0.12209037, -0.2513514, 0.05227993, -0.03793972, 0.23416786, 0.14136252, -0.42903665, 0.30638474, -0.17194082, -0.03402756, 0.5201243, 0.25490844, -0.07196761, 0.05503944]"
A Scanner Darkly,"[0.06075267, -0.33826986, 0.0791975, 0.27680972, 0.01190169, 0.26452821, 0.24734607, 0.09564656, -0.06658935, -0.00444501, -0.27383617, -0.26611972, -0.16964556, 0.1549084, -0.05374689, -0.12467588, 0.10884757, 0.14720446, -0.03690423, 0.00414322, -0.38870537, 0.19052732, 0.23979901, -0.37675083, 0.1286973, -0.31494525, 0.4669025, -0.09442342, 0.12206522, 0.2473565, 0.25895655, 0.02779517, 0.47072762, -0.35450396, 0.04906842, -0.05654619, 0.37826407, -0.09826456, 0.11308958, -0.19404432, -0.2695159, 0.89575577, 0.11648633, 0.06360833, 0.29473242, 0.02073712, -0.5365202, 0.09868991, 0.05661312, 0.00686224, -0.37737733, 0.5696674, -0.21549237, -0.2274186, -0.21219769, 0.532769, -0.36412305, 0.3284455, -0.2242955, -0.2992551, -0.04428764, -0.3616172, -0.13577186, 0.00587804, 0.24343109, 0.05154546, 0.26597148, -0.07710355, 0.03599172, 0.123648, 0.1340608, 0.1815031, -0.3443445, 0.15773264, -0.40008, -0.21915863, -0.26174974, -0.20551032, 0.0826579, -0.25202167, -0.2545697, 0.08403423, -0.21137762, 0.04322138, -0.0368294, 0.21974511, 0.39994457, 0.2704658, -0.38897225, 0.37851027, -0.08022065, -0.06592521, 0.23824476, 0.18803345, -0.42997977, -0.18174694]"
Things Are Tough All Over,"[-0.180341497, -0.44473508, -0.0223594382, 0.320850134, 0.0248176195, 0.185656905, 0.288083583, 0.152358651, 0.030992724, 0.346696049, -0.063986361, 0.0992888063, -0.316532105, 0.0608486496, -0.10815002, -0.0993732065, -0.153017595, 0.30169645, -0.170371652, -0.0201442204, -0.464401186, 0.0956843495, 0.0245702211, -0.17948851, -0.000348579313, -0.165513784, 0.447837293, 0.330884725, 0.120304175, 0.0836669952, -0.0582119748, -0.09170001, 0.39158839, 0.213823929, -0.0921245143, -0.127323031, 0.14068453, 0.0344841406, -0.296069771, 0.126086414, -0.266810656, -0.0493228994, -0.223387405, -0.00827182643, 0.0392061435, 0.229373276, -0.155334741, 0.0800070614, 0.154821843, 0.0563370213, -0.309739649, -0.0820179433, -0.00267535029, -0.413420945, -0.149135768, -0.0703281835, -0.0500929691, -0.285800517, 0.228349239, -0.130310923, -0.150588006, -0.560807347, 0.0618856251, -0.248222902, -0.0691642761, -0.235315666, 0.233215287, -0.0519460626, 0.202156752, 0.245809913, 0.30878073, 0.210414097, 0.0923272744, -0.0546776392, -0.266177118, -0.220416367, -0.488911539, -0.278178424, -0.292429507, -0.166670009, -0.0522115789, 0.190177619, -0.171573207, 0.0870671496, -0.133234471, -0.0555140339, 0.0593804792, 0.242360994, -0.493273228, 0.556359768, -0.0346050262, -0.0915894061, 0.934109271, 0.315373361, 0.180379048, 0.262409627]"
The Face of Love,"[0.07751901, 0.01843756, 0.14971022, 0.19810465, -0.02433138, -0.12649727, 0.5359238, 0.00071293, 0.20433667, 0.2304562, 0.23519558, 0.01065312, -0.15432075, 0.05601785, -0.15730864, -0.3242228, -0.50243217, 0.051626, 0.17008486, 0.00851166, -0.14976478, 0.28361768, 0.3836627, -0.3608855, 0.38684702, -0.09562477, 0.36214724, -0.25537798, 0.2877258, 0.22404265, 0.03595354, 0.10565618, 0.33825743, -0.45748323, -0.08788702, -0.07778792, 0.1742776, 0.283535, -0.01497297, 0.0142578, 0.14589551, 0.3932614, -0.02392115, 0.1077051, -0.18260546, 0.12425652, -0.08446278, 0.25382707, 0.18499026, -0.1951114, -0.39214274, 0.30319715, 0.10352021, -0.00545685, -0.40102562, -0.02519616, -0.37974322, 0.04549306, -0.3678198, -0.1098889, 0.2804557, -0.30122972, -0.10874855, -0.2594047, 0.19023114, -0.29833335, 0.1529983, -0.20015916, 0.42477638, 0.06719943, 0.00341325, 0.18163241, -0.02684445, -0.13984531, -0.46049014, -0.44955915, -0.3859292, -0.07792588, 0.12602678, -0.6237744, -0.18862182, 0.23928681, -0.4422564, -0.37037712, 0.3045761, 0.27933252, 0.23093972, -0.0277841, -0.3912905, 0.35830253, -0.07427642, 0.12769422, 0.24891345, 0.29033405, -0.20995757, 0.05579635]"
Following,"[-0.01313425, -0.03543375, -0.1411727, 0.13470627, 0.2366288, 0.19376892, 0.29918766, -0.08047497, 0.2539646, 0.02960626, -0.01805861, -0.35762408, -0.3196885, -0.12311669, -0.20384069, -0.25164086, -0.01064971, 0.15646355, 0.07520021, -0.02467915, -0.3271123, 0.01675519, -0.06467649, 0.02526625, 0.25390932, 0.10171035, 0.5683657, 0.1089134, 0.25748795, 0.20834099, -0.12387013, -0.04513773, 0.51030374, -0.27529675, 0.00225663, 0.02578452, 0.2875377, 0.15055792, 0.25890246, 0.0030511, -0.3964672, 0.24479811, -0.37363946, -0.11658482, 0.36712256, 0.11131764, -0.11108616, 0.09350176, 0.07375255, -0.20216799, -0.39582756, 0.11875935, -0.18740095, -0.1792196, -0.25448287, 0.15789162, -0.2956023, 0.14572546, -0.04265937, -0.24578395, 0.13204958, -0.51031226, -0.2655093, -0.27733678, 0.11039373, -0.02453258, 0.20284739, -0.14214568, 0.02514166, 0.28590405, -0.01664816, 0.30273116, 0.17718215, 0.07206144, -0.28511167, -0.35167295, -0.12140363, -0.10767796, 0.1499639, -0.612279, -0.20255119, 0.2159584, -0.24955642, 0.02794801, -0.11914242, 0.27045843, -0.10411083, 0.2781105, -0.03841577, 0.07391324, 0.03672217, 0.13628608, 0.4112475, 0.32472828, -0.4227441, -0.1079715]"
Kick-Ass,"[-0.139750361, -0.291463464, -0.0587366708, -0.00705406535, -0.0122955004, 0.175448567, 0.241887718, 0.302126169, -0.111161761, 0.0433288813, -0.254012257, 0.00510747498, -0.0819688067, -0.105083145, -0.133675143, 0.00012332476, 0.0232845042, 0.0296302401, -0.0358309038, -0.0955463424, 0.138948068, 0.464281797, -0.0406810269, -0.373465627, 0.326360613, -0.181809783, 0.442507982, 0.0793837532, 0.307530224, 0.0820103884, 0.0603838265, -0.0686176047, 0.326753229, 0.158703804, -0.0180533584, -0.195983186, 0.136856362, 0.00961339194, -0.0624862015, 0.0287694484, -0.296875268, 0.52452445, -0.0255476944, 0.0578282997, 0.167362213, 0.188072503, -0.189342856, 0.208404928, 0.0775801018, 0.100987293, -0.156098753, 0.339272738, 0.0588122495, -0.299149364, 0.0159981828, -0.0335690081, 0.0404118858, 0.241569042, -0.130280882, 0.0111706918, -0.0728439018, -0.408976942, -0.321602374, -0.41020146, 0.28812772, 0.0263947658, 0.0560855046, -0.0596837103, 0.191123366, 0.326350182, -0.149960011, 0.0927422419, -0.00915141124, 0.0791203752, -0.296020508, -0.288816005, -0.267974764, -0.371026427, -0.0305458065, -0.276828945, -0.364044636, -0.195842385, -0.157817796, -0.0519633442, 0.014101617, 0.0681053177, 0.112686321, 0.282567054, -0.213163123, 0.470194101, 0.0618145727, -0.0206421614, 0.44885996, 0.2193584, -0.277829975, 0.0743808523]"
Beginners,"[-0.17007887, -0.24404359, -0.00253598, 0.44261536, -0.00873607, -0.02146554, 0.4076436, -0.14231901, 0.02605927, -0.06048518, 0.24954316, 0.23970899, -0.17600365, -0.01166975, -0.27381104, 0.01324255, -0.29233995, 0.11412414, 0.27875653, 0.04163782, -0.06072167, 0.16271742, 0.22606122, -0.1681896, 0.3275182, -0.08571429, 0.2603702, -0.02205113, 0.14693591, 0.03542343, 0.28814673, -0.0024761, 0.2910584, 0.03172441, -0.17972954, -0.4166882, 0.10230386, -0.02247135, -0.22896433, 0.35115698, -0.06152695, 0.38458458, -0.12959976, 0.08134858, 0.08367871, 0.21978033, -0.2859954, 0.49713612, 0.21959628, 0.04859661, -0.4627835, 0.510862, 0.02687742, 0.04867051, -0.11018045, -0.02975596, -0.0189159, 0.05900288, 0.19537397, -0.1134078, 0.12404294, -0.5775427, 0.04927448, -0.1303496, 0.08989682, -0.135671, 0.04408171, 0.02347322, 0.07676103, -0.06070122, -0.08399207, 0.13683079, -0.33017883, -0.20909508, -0.34524408, -0.34383777, -0.3574122, -0.46111742, -0.08750157, -0.36476612, -0.42144543, 0.05694566, -0.34960288, -0.16128531, -0.13993308, 0.33907086, 0.02239498, 0.43047842, -0.22125961, 0.34662133, -0.04570771, 0.04844185, 0.54327196, 0.20208155, -0.23091583, 0.13236502]"
Take Shelter,"[0.28231278, -0.2832908, -0.11282502, 0.21837579, 0.08481026, 0.23231956, 0.36785302, 0.07473906, 0.01371001, 0.24798901, -0.13941675, -0.18457355, -0.3646378, -0.14685358, 0.01290245, 0.03417717, -0.06318233, 0.20274065, 0.09074019, -0.03620894, -0.3283207, 0.17947087, 0.30622154, -0.2556183, 0.42910367, 0.03563889, 0.54610616, 0.10205328, 0.20493066, 0.27993572, -0.11873093, -0.16785137, 0.48832437, -0.04005532, -0.06921969, -0.41179296, 0.23569693, 0.26118925, -0.18076004, -0.06860603, -0.43695235, -0.10838307, -0.23232129, -0.00839815, 0.04411452, 0.24725072, -0.22851242, 0.14853787, 0.02053633, 0.08545417, -0.30756655, 0.24539314, -0.00506546, -0.06910773, -0.16082934, 0.24130192, -0.32038656, -0.03667259, -0.02984061, -0.4042856, -0.04675565, -0.4040818, 0.07441926, -0.20646587, 0.0792608, -0.16661629, -0.00590475, 0.09888718, 0.14972241, 0.3596782, -0.03691428, 0.2667767, 0.01281646, 0.06842523, -0.395857, -0.40440163, -0.5960965, -0.00293913, 0.11104451, -0.18232965, -0.27061886, 0.19925836, -0.1871548, -0.07941552, -0.20264785, 0.3817822, 0.05284129, 0.28487226, -0.34781432, 0.34516093, -0.18986787, 0.12889223, 0.21872047, 0.2547186, -0.10141791, -0.05382256]"
Chernobyl Diaries,"[0.12791571, -0.10557272, -0.0607139, 0.0031445, 0.03783683, 0.13480358, 0.17038533, 0.14472626, 0.17011344, 0.09516179, -0.05885216, 0.04251264, -0.22143954, -0.09772343, -0.12960364, -0.27876464, -0.14155024, 0.24983999, -0.02933715, 0.03747039, -0.18299226, 0.18776886, 0.06997562, -0.30411974, 0.22039294, -0.04534169, 0.29933155, 0.00468977, 0.40897787, 0.12962544, -0.00543008, 0.01391419, 0.51398337, -0.19134584, -0.0618719, -0.11029357, 0.15828916, 0.16203439, -0.04713902, -0.0391954, -0.4258398, 0.3302583, -0.25734335, -0.03041557, 0.06929975, 0.1219077, -0.01629477, 0.29034007, 0.21711947, -0.08848809, -0.41967773, 0.0920407, -0.00428057, -0.03941353, -0.00234398, 0.09714341, -0.09718741, 0.04356205, 0.00968182, -0.2499243, 0.02139097, -0.4194006, -0.11740609, -0.31733558, 0.05885832, -0.07342475, 0.1489354, -0.20124172, -0.0098927, 0.15037881, -0.02204927, 0.33933824, 0.03226269, -0.11218016, -0.16148058, -0.24786276, -0.19354579, -0.15561773, 0.12280132, -0.28370786, -0.06399474, -0.0705434, -0.20939845, -0.06320031, -0.05209002, 0.11567702, 0.19299133, 0.07205971, -0.2510286, 0.28304985, -0.04331869, 0.13543202, 0.26540574, 0.24573751, -0.13635257, 0.007117]"
Malamaal Weekly,"[-0.08600033, -0.18003349, -0.04997844, 0.02463816, -0.07306086, 0.14046524, 0.2617879, 0.07379484, 0.26369765, 0.37413707, 0.19607854, 0.06895516, -0.23819916, -0.289457, 0.12874116, -0.00711965, -0.22149181, 0.05081233, 0.17526114, -0.05326872, -0.22719893, 0.06752428, -0.1547922, -0.54362154, -0.04226508, -0.00374685, 0.11740588, 0.29163742, 0.0905615, 0.33695737, -0.1368608, -0.07907113, 0.30450407, 0.14566927, 0.2057227, -0.17982939, -0.03228357, -0.27036515, -0.17146726, 0.18195152, -0.00499671, 0.09554905, -0.25905493, 0.11269599, 0.1137816, 0.2928366, 0.12971222, 0.25049675, 0.43669853, -0.15043084, -0.23801169, -0.13556261, -0.04331825, -0.13109846, 0.06400048, -0.0372771, 0.01831399, -0.07430692, 0.32570538, -0.07735423, -0.03011343, -0.25019655, -0.12514494, 0.2780073, 0.41978675, 0.10639733, 0.17804708, -0.22346501, 0.11941009, 0.47657505, -0.09933069, 0.0847409, 0.04520191, -0.04136937, -0.15452485, -0.2698558, -0.08964544, -0.33275786, -0.06951272, -0.32642907, -0.19543098, -0.02978438, -0.59674954, -0.13461393, 0.09719338, 0.21191703, -0.18839729, 0.08003321, -0.18602987, 0.19315836, -0.06069709, -0.06086849, 0.30618465, 0.2518541, -0.05933292, -0.0106807]"
Daddy Day Care,"[-0.28912196, -0.45992586, 0.13846147, 0.09017085, -0.06160231, 0.1838119, 0.19680566, 0.3164785, 0.04438274, -0.00538146, -0.5238865, -0.1247965, 0.08779203, 0.08883729, -0.11218925, 0.22162819, 0.2014011, 0.14830405, 0.04464885, -0.19977441, 0.23545259, 0.17609552, -0.04105452, -0.30799258, -0.02253529, -0.08351463, 0.5029819, 0.36863413, 0.13863072, -0.1329852, -0.1691268, 0.15169582, 0.31011868, -0.08749061, 0.22368658, -0.35658583, -0.01071199, -0.11559832, 0.08276658, -0.12139298, -0.15960155, 0.60421914, 0.38190696, -0.01630055, 0.23922382, -0.2011847, 0.32192016, -0.06601834, 0.28698066, -0.20723332, -0.09460937, -0.15784797, -0.06234102, -0.27465552, -0.06639013, -0.05024194, -0.07610615, -0.09952394, -0.31864715, -0.18530896, 0.34093836, 0.00783588, 0.01865223, -0.06960162, 0.41399103, 0.07565174, 0.31563258, -0.34356675, 0.0464518, 0.38147533, -0.14152238, -0.02172653, -0.18990946, 0.24978186, -0.0923807, 0.15589392, -0.28878057, -0.3542146, -0.32999152, 0.08052415, -0.3174544, -0.03575354, 0.02862719, 0.19887958, -0.08669092, 0.09285661, 0.11959515, -0.07789396, -0.441701, 0.27047038, -0.08590144, 0.06393661, 0.24787496, 0.34575552, -0.2895353, 0.01873]"
Exposed,"[0.20813036, 0.0541349463, -0.210002109, 0.153976992, 0.173333749, 0.0527302101, 0.414708436, 0.190810814, 0.178557649, 0.137807608, -0.0528192259, -0.373190701, -0.168429121, -0.159664392, -0.23175253, -0.0203107726, -0.262349576, 0.239839047, -0.128798112, 0.0669760779, -0.0620785579, 9.51633992e-05, -0.0579382554, -0.246926859, 0.542107999, -0.107955292, 0.314047396, 0.241586372, 0.301050842, 0.289993316, 0.0524788424, -0.0438173264, 0.26710549, -0.367281169, 0.0478142649, -0.281342149, 0.301623404, 0.252412349, -0.215195, -0.0902536064, -0.323435932, 0.29547137, -0.0658650771, 0.0301182363, -0.071138069, 0.0742258877, -0.0639518797, 0.317437202, 0.177123994, -0.255576968, -0.588617265, 0.409541786, 0.0321704969, -0.236374989, -0.311095983, 0.145982414, -0.421177179, 0.311415464, -0.0877729133, -0.304509729, 0.0235908702, -0.342857867, -0.060767062, -0.114207871, 0.0693417042, -0.105901591, 0.384693176, 0.0307052471, 0.140171349, 0.28952828, 0.203116342, 0.381784022, 0.28513363, -0.323752195, -0.236766413, -0.423393935, -0.271746188, -0.175821602, -0.0287786387, -0.485188484, 0.0263089221, -0.160466567, -0.389484465, -0.374980986, -0.118146606, 0.144355878, 0.136114597, -0.1060725, -0.264697909, 0.210645288, -0.0170228276, -0.0429095849, 0.560135186, 0.289976716, -0.182776824, -0.0633421019]"
Bus 174,"[0.128199652, -0.0998029038, -0.0950963125, 0.11141406, 0.111952744, 0.27864331, 0.0977722853, 0.198254511, 0.160299703, 0.0814945996, -0.14192386, -0.00998080242, -0.309214413, 0.00639212644, 0.000561796129, -0.180443525, -0.00733882887, 0.215118453, -0.178206041, 0.0868823975, -0.263693213, 0.294994563, 0.149766684, -0.240934566, 0.149001241, -0.0318980142, 0.457208693, 0.181110367, 0.283423007, 0.0945257023, -0.0135618253, -0.238839254, 0.226232335, -0.147113025, -0.188192502, -0.0748269558, 0.101498879, 0.0832796767, -0.0190913975, -0.122059293, -0.352524459, 0.151619911, -0.064939253, -0.142890215, 0.331507504, 0.0937359482, -0.319281042, 0.145822287, 0.0213770941, 0.0153910266, -0.260238618, 0.118354551, 0.040875949, -0.223150641, -0.196773469, 0.136816099, 0.00490573747, -0.0889256224, 0.0528784133, 0.000217401976, 0.0159861911, -0.441322714, -0.0103723835, -0.221189991, 0.205093428, -0.0722748637, 0.0328959264, -0.000181290932, 0.259471565, 0.0369969644, 0.0506934822, 0.231571198, 0.149328887, -0.144147158, -0.250286102, -0.393502861, -0.296752781, -0.223714769, -0.0774139166, -0.239825875, -0.0711676627, 0.0554150976, -0.0806936845, -0.129544944, -0.0760089532, 0.20875828, 0.182290629, 0.223056018, -0.369665027, 0.253607035, -0.0698692948, 0.0418116152, 0.409121662, 0.407479942, -0.233077437, -0.00222968962]"
