title,vector
S.W.A.T.,"[-0.06806809 -0.40392166 -0.1464621   0.11781864 -0.02639008  0.01138457
  0.4274397   0.17122401  0.14375153  0.18803568  0.07901292  0.03701742
 -0.3096782  -0.08301147 -0.1675327  -0.2332148  -0.01443748  0.07733251
 -0.03108238 -0.05005707 -0.22464803  0.14122713 -0.17678927 -0.11341661
  0.11704046 -0.04322796  0.42524725  0.3439516   0.14081666  0.26644322
 -0.15347035 -0.10896983  0.15208302 -0.14187479 -0.10764924 -0.05291688
  0.09849218 -0.03596595 -0.01487409 -0.10516979 -0.28599364  0.17175691
 -0.1634272   0.18717757 -0.05480424  0.04873588  0.0135051   0.2304364
  0.16621539 -0.07049114 -0.25970405  0.19381413  0.21594574 -0.24995449
 -0.24614489  0.03464286 -0.14260499  0.0092769   0.18618505  0.01152938
 -0.04491986 -0.35692513 -0.10263317 -0.04163945  0.06519089 -0.16549955
  0.20702817  0.0248603   0.09983648  0.07865746  0.24877901  0.21042415
  0.21893059 -0.10247944 -0.01920571 -0.33158714 -0.42063117 -0.27915463
 -0.11854849 -0.27582195 -0.16642949  0.09201457 -0.23761816  0.00494224
 -0.03883516  0.1468571   0.05838637  0.04906724 -0.37645224  0.41739243
 -0.07315864 -0.10917567  0.80841887  0.356526   -0.25959036  0.10766628]"
Scrooged,"[-0.06041023 -0.38037178 -0.19960149  0.13140053  0.13442153  0.3146083
  0.13583304  0.31506357  0.05378602  0.17759861  0.01654143  0.0286826
 -0.29071194 -0.10940173 -0.18471631 -0.0452783  -0.07512747  0.10877558
  0.05622506 -0.08921053 -0.2739952   0.11900114 -0.06252345 -0.16486335
  0.25201815  0.03549719  0.3384284   0.23639405  0.22015731  0.11653465
 -0.04937459 -0.1780806   0.30213058 -0.02521666 -0.09646235 -0.40334332
  0.22338136  0.27278093 -0.30591553 -0.19831027 -0.3154885   0.00506124
 -0.04554538  0.0702661  -0.07437331  0.05400169  0.0607      0.06246493
  0.23506111 -0.06353092 -0.51763266  0.17437585  0.33473548  0.01089185
 -0.21505532 -0.02613727 -0.06905656 -0.08256503  0.10393871 -0.17376715
  0.05338936 -0.4385198   0.17012924 -0.17607361  0.0473814  -0.11274657
  0.00889589 -0.13766128  0.1223184   0.11924989  0.13518736  0.19546083
  0.2570458  -0.15081136 -0.11966936 -0.18834212 -0.44361007 -0.14095703
 -0.1308858  -0.14521943  0.04615387  0.06514441 -0.20514654 -0.10909101
 -0.0553435   0.12036765  0.1100735   0.29470944 -0.31165147  0.27992502
 -0.12923674 -0.11153827  0.77638304  0.13955693 -0.00434832  0.19470805]"
Sex Drive,"[-0.07350393 -0.19886895  0.21658388 -0.02489243 -0.04061402 -0.05580369
  0.30922702 -0.02005568  0.30677482 -0.08257005  0.0588858  -0.2763324
 -0.12969267  0.01663457 -0.12841015  0.11288986 -0.16480713  0.06124827
 -0.12633388  0.07899882 -0.34106982  0.3260895  -0.23837852 -0.24584697
  0.2930717  -0.07209208  0.44992334 -0.11750501  0.11717754  0.31826115
 -0.16717614  0.03235934  0.38021052 -0.2101121   0.06098772 -0.04445247
  0.37398615  0.16531311  0.30297878  0.2563629  -0.3556843   0.2681121
  0.08386739 -0.05465566  0.22413865 -0.09487317 -0.05754961  0.31286326
  0.37018758 -0.12413698 -0.24984385  0.07496433  0.03876441 -0.4437239
 -0.58393896  0.28762093 -0.26469195  0.19881219 -0.3423451   0.03052494
 -0.00954333 -0.30546066 -0.35488942 -0.42952853  0.0598256   0.05769124
  0.24660178 -0.13341667  0.12282326  0.083813   -0.09314229  0.06976362
 -0.07446916 -0.07481524  0.05522702 -0.27562827 -0.1802764  -0.45114553
 -0.06857909 -0.5507772  -0.2126144  -0.23344742 -0.251631   -0.1400942
  0.1573724  -0.05231805  0.21057788  0.20794077 -0.02354402  0.4059265
 -0.01056615  0.28033388  0.42980337  0.4611004  -0.37583256  0.16087738]"
Planet Hulk,"[ 0.2293146  -0.0908351  -0.06432598  0.10621002 -0.06512337  0.13491552
  0.38689542  0.11831295  0.09795771  0.39267683 -0.14034827 -0.0524151
 -0.22873683  0.00117493 -0.03205629 -0.41922548 -0.325204    0.2067688
  0.07687338  0.08411174 -0.02060202  0.00355224  0.10004678 -0.5490427
  0.28251514 -0.00207684  0.49789086  0.09541879  0.03742892  0.49510416
 -0.12221127 -0.03818843  0.38235936 -0.11785983  0.05469545 -0.34348506
  0.09670287  0.01704126  0.13611719 -0.01283698 -0.11766457  0.13860212
 -0.23268479 -0.02865161  0.1020517   0.05509378 -0.09587631  0.24777262
  0.04170342 -0.26427257 -0.3541146   0.02555952  0.01674662 -0.13904579
 -0.0576217   0.05232508 -0.23254469  0.13983946  0.2092469  -0.09310596
  0.01872349 -0.3582741  -0.31920084 -0.10085329  0.29588464  0.00566146
  0.24595693 -0.15963033  0.11570836  0.31383058  0.296375    0.10941127
 -0.01771895  0.0929038  -0.39466745 -0.38358766 -0.34650764 -0.2537284
 -0.05674035 -0.24821153 -0.16761105  0.18489955 -0.31958    -0.17089386
  0.20322673  0.14926544  0.17247957 -0.15498468 -0.27136692  0.35959157
 -0.11904491 -0.14993533  0.4569937   0.30459076 -0.13645782 -0.03788898]"
Fallen,"[ 0.14940694 -0.11574032 -0.2877263  -0.04032356  0.09080485 -0.04144111
  0.5089704   0.11163232  0.30707398  0.09228255  0.18796414 -0.02837826
 -0.339982   -0.09161837 -0.3456231  -0.20040815 -0.13830476  0.13766915
 -0.21895105  0.04431551 -0.1968587   0.13985324 -0.26869732 -0.21917365
  0.29836583  0.09683727  0.29034334  0.19146773  0.18066777  0.39289898
 -0.15746804  0.04959209  0.13118647 -0.06425814  0.04606608 -0.09107669
  0.05072292  0.01102756 -0.14563587 -0.14760932 -0.30643976  0.07534733
 -0.12523854  0.09645371 -0.11370952  0.12271231  0.04550382  0.3672229
  0.19648275 -0.01158447 -0.14193074  0.20984009  0.0240298  -0.27305505
 -0.02340477 -0.06138665 -0.04836887 -0.1465916   0.18017876  0.02715624
  0.04994946 -0.38394782 -0.26298055 -0.18708467 -0.01189316 -0.06976194
  0.29684028 -0.16367134  0.10215282  0.20757185  0.1584558   0.2015435
  0.10223967 -0.42191663 -0.0508098  -0.04360616 -0.23880221 -0.25133386
 -0.13559516 -0.1120787  -0.0801442  -0.16742885 -0.23640332 -0.09836145
  0.05207931  0.2919214  -0.01936367  0.07657798 -0.4810077   0.27049983
  0.01731531 -0.11698538  0.8410425   0.3762504  -0.19980001  0.07043324]"
The Hustler,"[-0.07922241 -0.30816534  0.13847344  0.31882793  0.05469766  0.11377992
  0.37260008  0.288939    0.08819006  0.05511621  0.01312014 -0.06149362
 -0.14133874  0.06325849 -0.2616789   0.0284332   0.23766957  0.02360412
 -0.09984941  0.00752648 -0.20415904 -0.10202626  0.01400643 -0.19536659
  0.17069098 -0.28186044  0.57803786  0.32922915  0.40297732  0.30415463
 -0.10827726 -0.20056756  0.38358223 -0.31160367 -0.20370674 -0.11528662
  0.21232194 -0.01387211 -0.05560442  0.02394502 -0.3600609   0.9073503
  0.11230294  0.1924762  -0.17895462  0.03927239 -0.42814112  0.20590633
  0.02586847 -0.07416461 -0.11017467  0.23927495  0.15975541 -0.3736948
 -0.23548763  0.11509407 -0.38632867  0.05458582 -0.11994709 -0.1910753
 -0.01206454 -0.21549523 -0.18801758 -0.20732816  0.02813449 -0.1532771
  0.20689732  0.08717082  0.08918459  0.09296028 -0.0083826   0.29830515
  0.0850455  -0.15772393 -0.1867889  -0.2227227  -0.3140658  -0.49909654
  0.09961789 -0.40974516  0.01264496 -0.14257987 -0.0089941  -0.3220323
 -0.2065664   0.16749154  0.41065133  0.06889561 -0.50561965  0.38377073
 -0.12887834  0.02049166  0.65414685  0.2005129  -0.23107006 -0.00608806]"
The Shack,"[ 0.03960529 -0.07933245 -0.10595212  0.05603888  0.06944226  0.05099575
  0.3754554   0.031998    0.17789517  0.18425506 -0.11546793 -0.05946499
 -0.25842133  0.00346598 -0.04890008 -0.1989155  -0.09695831  0.10381446
  0.15082136  0.16055445 -0.23014596  0.15115322 -0.0092654  -0.41502726
  0.11670022 -0.084208    0.38475156  0.09411817  0.16868426  0.18281418
  0.09499425  0.04550932  0.19122575 -0.31037143 -0.00772711 -0.20813271
  0.08245233  0.2675741  -0.1200986  -0.05636853 -0.15982573  0.2923649
 -0.27254733  0.14901866  0.0107851   0.0189452   0.08622342  0.2797914
  0.32074112 -0.18840879 -0.4545505   0.0532366   0.05414949 -0.2580839
 -0.24151438  0.00620067 -0.2588709   0.13492292 -0.05548494 -0.18245202
  0.10659556 -0.4452007  -0.0072148   0.03183209  0.24594086 -0.1574172
  0.21173559  0.05073183  0.01420603  0.2537216   0.144886    0.15331043
  0.13503145  0.07603326 -0.34150317 -0.33947217 -0.24035685 -0.21286085
  0.00524476 -0.43985888 -0.23510459  0.33976483 -0.45275724 -0.21446595
  0.07824668  0.12595774  0.28693074  0.17075948 -0.28348196  0.19826594
 -0.12041534  0.05517094  0.5036721   0.41179392 -0.2787318  -0.10265888]"
Goya's Ghosts,"[ 0.1769001  -0.21583667 -0.05465293  0.10514824 -0.10580703  0.21961355
  0.19306737  0.17257935  0.09557546  0.20661578  0.01715206  0.21456322
 -0.28309983  0.19347745 -0.1709166   0.01662739 -0.10725405  0.10752038
 -0.05762822  0.06233365 -0.17657101  0.0776151   0.16004525 -0.34100747
  0.3319069  -0.07079887  0.69169897  0.17349128  0.20998207  0.29028285
 -0.10211357  0.06115802  0.21068202 -0.10931835 -0.26968232 -0.54138964
  0.04162662  0.3964241  -0.11351814  0.20246845  0.32244903  0.28920403
 -0.15157568  0.328621   -0.096355    0.02885425  0.22674575  0.28811875
  0.3623725  -0.17741679 -0.51746726 -0.01988887  0.21879457  0.07661729
 -0.29225072 -0.02051588 -0.35913146  0.19395447  0.00318067 -0.22859757
  0.29629138 -0.26097962 -0.14508007 -0.10780387  0.14772622 -0.403558
 -0.06610025  0.02079623  0.2547869  -0.06094075  0.05907403  0.18557295
  0.1423382  -0.03484279 -0.32113683 -0.39841262 -0.5303393  -0.2640989
 -0.38551888 -0.3986875  -0.11604919  0.18774234 -0.4059178  -0.49525538
 -0.05372845 -0.13630691  0.3193565   0.02530546 -0.4964985   0.44832245
 -0.35454887 -0.09363908  0.62876236  0.23735273 -0.26052818  0.15486884]"
Nitro Circus: The Movie,"[-0.07455318 -0.19813816 -0.03077808  0.07504912 -0.07763394  0.25515777
  0.16048259  0.0086001   0.19163625  0.22081271 -0.02634539 -0.04998591
 -0.35109922 -0.16353133 -0.06084178 -0.08416791  0.1691481   0.06316946
 -0.01935094  0.0597222  -0.21689388  0.3081072  -0.13551572 -0.2262455
 -0.01061138 -0.10098793  0.3757738   0.16334476  0.12720221  0.24566981
  0.02735454 -0.07945281  0.20886673 -0.10986873 -0.0646833  -0.21103999
  0.1297186  -0.21957652 -0.07692272 -0.01486192 -0.3977722   0.2972542
 -0.29255038  0.08399686  0.284105    0.01504059 -0.01525776  0.15250967
  0.21303631  0.06708725 -0.32349187  0.05415827 -0.03211899 -0.2211009
 -0.11160446  0.11864466 -0.00291275 -0.17852446  0.07099213 -0.13807373
  0.08281517 -0.38048217 -0.01813479  0.19602601  0.05351961 -0.09490687
  0.11106915 -0.20210284 -0.02884479  0.09126981  0.11291084  0.04332078
  0.08912466 -0.08940862 -0.14247476 -0.17065968  0.00594324 -0.16219324
 -0.04005611 -0.1317385  -0.14368625 -0.08360668 -0.17259376  0.03707265
  0.0361858   0.22364646  0.13015135  0.18268412 -0.37051445  0.30676478
  0.03468341 -0.11022286  0.56555504  0.35212272 -0.28800404  0.07499862]"
Defence of the Realm,"[ 0.08629131 -0.32859412  0.05261075  0.14067361 -0.05795631  0.16851135
  0.14418653  0.21307701  0.2591183   0.20951812  0.00678886  0.01105661
 -0.267777    0.04299799 -0.11658899 -0.04694116  0.03890825 -0.03988068
 -0.08924135 -0.01603637 -0.28649917  0.11386606  0.0598102  -0.18295132
  0.23370312 -0.17359646  0.606637    0.07370277  0.24405667  0.3018167
  0.03473916 -0.04135636  0.34819967 -0.2422657   0.0944325  -0.10632729
  0.30945313  0.01173507 -0.23641285 -0.01889159 -0.2901419   0.20879637
  0.03025665  0.05364469  0.00518172  0.00733786 -0.14709592  0.22532082
  0.11302974 -0.09210402 -0.52664006  0.15328941  0.07904477 -0.16047648
 -0.18231949  0.11020911 -0.23750849  0.11232106  0.05175793 -0.2806694
 -0.16480073 -0.4074037   0.02715121 -0.23084244  0.04409529 -0.10828833
  0.2625985  -0.20134732  0.11908852  0.00903781  0.15962815  0.25960335
  0.1276873  -0.18127936 -0.03458414 -0.31871152 -0.32578814 -0.1821809
  0.08997644 -0.30452898 -0.01631948 -0.01254549 -0.305936   -0.14462973
 -0.14492607  0.19439776  0.2411341   0.05943366 -0.3324259   0.49257335
 -0.17350602 -0.12175465  0.57791996  0.14825806 -0.2784086   0.14878316]"
Fast & Furious,"[-1.11156039e-01 -3.81125391e-01  4.52905521e-02  7.30428100e-02
 -1.42217815e-01  8.99310559e-02  3.25699359e-01  3.89974080e-02
  2.64446326e-02  2.86777407e-01  2.65286528e-02  4.63368297e-02
 -1.80911392e-01 -6.70899749e-02 -1.33919910e-01 -2.33144164e-01
 -7.22616166e-02  1.63928583e-01  1.92729115e-01 -5.77754527e-02
 -1.56010851e-01  1.99846432e-01 -2.78497189e-01 -3.53657097e-01
  1.12180136e-01  2.79045198e-02  4.15244251e-01  3.02911252e-01
  1.06707975e-01  2.52361685e-01 -2.70025227e-02 -2.14667376e-02
  4.24869180e-01 -1.36690810e-01  9.85449553e-02 -1.88172981e-01
  1.90448239e-01  1.06447231e-04 -5.03821857e-02  1.60673901e-01
 -3.08405370e-01  2.86126226e-01 -1.10643476e-01  5.02794841e-03
  6.89007863e-02 -1.07464865e-01  3.68804932e-02  2.07739785e-01
  1.66594058e-01  3.45541420e-03 -3.38833362e-01  2.04073861e-01
  1.31607428e-02 -2.99854130e-01 -5.41343205e-02 -5.06171472e-02
 -3.40655819e-02  2.32552484e-01 -2.21380126e-02  4.07626517e-02
  7.82264248e-02 -3.47541869e-01 -1.63321540e-01 -1.57512635e-01
  2.02023648e-02 -5.40533550e-02  3.19651842e-01 -7.52905086e-02
  8.15235823e-02  3.17506254e-01  1.11552224e-01  1.11655489e-01
  4.05567177e-02 -2.64488589e-02 -2.77763277e-01 -2.43823349e-01
 -2.86698252e-01 -2.68399835e-01 -1.10175446e-01 -2.53061533e-01
 -1.65701345e-01  5.87234981e-02 -3.92765492e-01 -7.66657293e-02
  6.17443770e-02  7.96861425e-02  1.66880023e-02  1.25175104e-01
 -2.68142015e-01  4.29298788e-01 -7.20562935e-02  4.22341526e-02
  4.69608963e-01  2.31678590e-01 -2.01819986e-01  1.41703904e-01]"
The Birth of a Nation,"[ 0.22844383 -0.18203357 -0.13593028  0.16591243  0.1090605  -0.02213655
  0.17919952 -0.00258312  0.13330276  0.13623239 -0.05765048 -0.1454617
 -0.28735018  0.0714846  -0.17970648 -0.17299987 -0.13568927  0.30029356
 -0.10120283  0.03724601 -0.23008245  0.09568477  0.06076482 -0.28297842
  0.18713397 -0.10837287  0.4439163  -0.03104839  0.30868763  0.22543244
  0.02148056 -0.19000776  0.23540036 -0.2731632  -0.09217482  0.06481171
  0.20191681  0.09608456 -0.04619811  0.01412506 -0.18072343  0.29591596
 -0.18260226  0.02519162  0.21275735  0.19247659 -0.1137985   0.1639486
  0.16625273  0.0147455  -0.4814413   0.13792352  0.10177768 -0.11789875
 -0.22562185  0.32674295 -0.21793377 -0.00266218  0.05054808 -0.17286721
 -0.08327694 -0.53663725 -0.08086205 -0.10715381  0.07664835 -0.13884443
  0.15639393 -0.07788572  0.17131814  0.00995964  0.16940896  0.3044299
  0.05921283 -0.12596849 -0.21270303 -0.37476715 -0.26967946 -0.2584719
  0.02190637 -0.30884436 -0.19646586  0.08600918 -0.12935871 -0.20352381
 -0.07338145  0.07019252  0.17476732  0.18231174 -0.40473717  0.16686644
 -0.08039806  0.04849225  0.55875826  0.33721584 -0.16302179  0.07050262]"
Little Miss Marker,"[ 0.05285239 -0.11254192 -0.0085486   0.06031989 -0.04366341 -0.06370476
  0.3286486   0.04393312  0.12139093  0.1277053   0.07647029 -0.21074486
 -0.29855254  0.14607017 -0.20784347 -0.09920724 -0.02841064  0.28768903
 -0.04558167  0.07582498 -0.19047761  0.26907206  0.14333588 -0.2688528
  0.2712912  -0.20165126  0.2611232  -0.08502772  0.17310259  0.27999878
  0.04644167  0.1770944   0.39367768 -0.32876688 -0.05575085 -0.10227878
  0.1042852   0.12622389 -0.16381107  0.1692892  -0.13215795  0.25290397
 -0.04275725  0.19224542 -0.00285192  0.25530505 -0.21702704  0.53551304
  0.1960523  -0.11928971 -0.5057657   0.15226085 -0.09322869 -0.22787502
 -0.10253274  0.13023683 -0.2744928   0.03988694 -0.03214078 -0.10227448
  0.07809984 -0.4400921  -0.03685311  0.08091586  0.04699267 -0.06630721
  0.168036   -0.06540862  0.16619565  0.12259208  0.08165105  0.17314154
 -0.08026336  0.03199827 -0.3012271  -0.2715213  -0.24058792 -0.24459222
 -0.02346194 -0.35760757 -0.0904692  -0.10132479 -0.5293014  -0.28945014
 -0.0577149   0.02696895  0.16608033  0.13332842 -0.31009108  0.2627471
  0.01335742 -0.11755601  0.5041188   0.2455147  -0.28679806  0.12610327]"
If I Stay,"[ 0.12218592 -0.27788818 -0.08704063  0.06531812 -0.00487841  0.2110409
  0.22932303  0.27248597  0.05741872  0.06784843 -0.07184305  0.07135524
 -0.3411532   0.08632886 -0.094929   -0.0719128  -0.00696335  0.33562073
 -0.02351966  0.0217001  -0.16541487  0.2591126   0.2134232  -0.17118028
  0.17036673 -0.06178548  0.38850144  0.02136637  0.3524998   0.09382541
 -0.03951154 -0.18148354  0.42182592 -0.12210298 -0.072575   -0.15734436
  0.077497    0.01208212 -0.2659169   0.01613484 -0.18750136  0.19480392
 -0.04102916  0.07070188  0.11133464  0.024475   -0.24962881  0.2702479
  0.14062436  0.08474702 -0.41660282  0.27315083  0.03522224 -0.4131378
 -0.24722378 -0.01345962 -0.04641754 -0.06022263  0.21068451 -0.13855688
 -0.06187341 -0.44700587  0.09539155 -0.33795118  0.06428906 -0.18545173
  0.08844668 -0.14686698  0.01823109 -0.02868008 -0.02646411  0.24281298
  0.1045775  -0.13205454 -0.28094837 -0.28493175 -0.4730824  -0.18627593
  0.01782161 -0.18895462 -0.1325238  -0.08006635 -0.19035475 -0.11037742
 -0.27376473  0.01462614  0.27652648  0.28053346 -0.3125489   0.47756296
 -0.1103142   0.05301517  0.49558476  0.24023286 -0.1176101   0.24795744]"
To Die For,"[-0.15420769 -0.3345262   0.06782815 -0.04813388 -0.00504263 -0.06113775
  0.4298301   0.01806707 -0.00754146  0.2868279   0.16953738  0.00444108
 -0.28332156 -0.13582727 -0.18218316 -0.20532197 -0.08612761  0.04120474
  0.16739349 -0.07401402 -0.09312807  0.26950455 -0.2608179  -0.23227112
  0.31428742 -0.04450355  0.4962941   0.18118116  0.13962728  0.311943
  0.02434171  0.01822076  0.22422335 -0.05194033 -0.0422263  -0.20902236
  0.11618451  0.10459087  0.00808917 -0.12665503 -0.21191545  0.25424686
 -0.287185    0.434859    0.07427193 -0.03575674 -0.10715274  0.16631395
  0.11113945 -0.05067115 -0.3969307   0.24912032  0.00521399 -0.41493797
 -0.22084348 -0.05433297 -0.1345021   0.02198623  0.09070993 -0.1830112
 -0.10298829 -0.21962216 -0.22066368  0.03022625  0.02591951  0.06458104
  0.27451912 -0.04182854  0.19397072  0.0935784   0.1653173   0.09344371
  0.10015795 -0.09381237 -0.16128288 -0.33015585 -0.02260211 -0.19722116
  0.0356492  -0.36931795  0.02496013  0.11259656 -0.32721362 -0.2505921
 -0.00108357  0.18163092  0.09541254  0.02464597 -0.23274626  0.49996275
 -0.00200046 -0.13209267  0.47647658  0.32572368 -0.41032368  0.02009293]"
Unbroken,"[ 3.14820558e-01 -4.50606376e-01 -1.04138710e-01  1.89275667e-01
  1.75975457e-01  1.36401907e-01  2.78422058e-01  2.68842846e-01
  3.74238305e-02  1.34039059e-01  4.36663628e-04  1.93512127e-01
 -4.86736327e-01 -2.83916984e-02 -3.27887714e-01 -3.89724404e-01
 -3.52999777e-01  3.12016398e-01 -1.97750200e-02  2.45389983e-01
 -4.42670703e-01  6.62701353e-02  8.84803534e-02 -1.43097624e-01
  3.58552337e-01 -3.10043488e-02  5.37559867e-01  1.10621743e-01
  2.82821029e-01  1.69309855e-01 -1.04991756e-01 -3.50071579e-01
  1.60498515e-01  8.11218843e-02 -4.05855179e-01 -2.70162877e-02
  2.86646485e-01  3.41396183e-01 -1.96851313e-01 -3.58242899e-01
 -3.28756809e-01  8.87177289e-02 -3.20821911e-01  2.28938367e-02
 -3.14907022e-02  1.68846264e-01 -8.34353343e-02 -5.95100224e-03
  2.01370120e-01  1.34107135e-02 -5.37665546e-01  9.11212340e-02
  3.44176292e-01 -1.97347123e-02 -4.72322434e-01  1.12788953e-01
 -9.85646844e-02 -5.63430078e-02  2.05842659e-01 -3.17046285e-01
 -1.21153153e-01 -6.83678091e-01  8.57985206e-03 -4.19394463e-01
  3.44231725e-04 -3.85432452e-01  2.96554655e-01 -9.72876698e-03
  3.08921218e-01 -1.37810409e-03  2.07757816e-01  1.90092504e-01
  3.52102965e-01 -1.99310660e-01 -2.55904406e-01 -3.33272010e-01
 -4.69687432e-01 -1.59129024e-01 -2.47269109e-01 -2.16673568e-01
  1.04436576e-02  2.39880398e-01 -2.04947188e-01 -2.66176850e-01
 -8.30791444e-02  2.93179601e-02  9.75178108e-02  2.29209200e-01
 -6.11071706e-01  5.40920556e-01 -1.84156820e-01  1.34326354e-01
  7.77332723e-01  2.13623807e-01 -1.00911431e-01  5.36097705e-01]"
Hipsters,"[ 0.01223889 -0.13104522 -0.08884715  0.21668276  0.16964273  0.2695391
  0.18798739  0.07855735  0.20269233 -0.14776348 -0.0360077  -0.1275516
 -0.5306607  -0.11257207 -0.26106668 -0.14738539 -0.05087241  0.21840678
 -0.14958389  0.02393852 -0.29138428  0.21950205  0.07398782 -0.1398505
  0.0167706   0.06498192  0.4464465   0.21491209  0.23333819  0.15975703
 -0.05171547 -0.29109126  0.2794551   0.04412488 -0.14739874  0.02156753
  0.17969102  0.3072072   0.04364961 -0.06247735 -0.3732148   0.19949672
 -0.2066008  -0.01425655  0.1700097  -0.03529191  0.07526933  0.06039165
  0.08841521 -0.22012973 -0.49286607  0.32598302  0.08691414 -0.22111091
 -0.33155215  0.18048008 -0.08728795  0.08506359  0.15832849 -0.1471117
 -0.01597988 -0.42851624 -0.1368564  -0.07903348  0.0340085  -0.03168361
  0.3472904  -0.03764436 -0.02994205  0.024388    0.25536075  0.19335838
  0.13530289 -0.28107688 -0.18075684 -0.19589175 -0.36047545 -0.31945512
  0.05011717 -0.5001314  -0.08273901  0.0660255  -0.1424319  -0.15768687
 -0.02703982  0.31013486  0.17216316  0.0417213  -0.2244785   0.12542887
 -0.00088846  0.1959611   0.53691614  0.29036132 -0.2790181   0.04526625]"
Never Back Down,"[ 0.00743714 -0.19394302  0.06588171  0.29729247  0.04076182  0.1326852
  0.22838148  0.05103352  0.13609317  0.06188378 -0.18860121 -0.07330938
 -0.30952507 -0.14337723 -0.13119239  0.0475024   0.0066998   0.2750675
 -0.140852   -0.07132487 -0.37046382  0.18615562  0.00345784 -0.16384539
  0.24157934 -0.24672624  0.5722813   0.0113674   0.19912718  0.12022512
  0.0569348  -0.17150326  0.10308689 -0.13607079 -0.0801999  -0.16873395
  0.36929625  0.19261925 -0.25078323 -0.12624758 -0.3848838   0.46309865
 -0.08386239  0.22105198  0.03097682  0.0987094  -0.2139253   0.07105637
 -0.04336109 -0.13867894 -0.5769403   0.51529956  0.08780456 -0.26501054
 -0.45079777  0.11124756 -0.1553763   0.05927888 -0.07395009 -0.17370605
  0.02343989 -0.3507899  -0.12678204 -0.34703743 -0.02622568 -0.05797097
  0.19123697  0.12217468  0.2149199   0.21088679  0.13497406  0.28534445
  0.09966803  0.01194544 -0.2313824  -0.23142527 -0.40015572 -0.35858285
  0.05457167 -0.31893617 -0.19513404  0.19776818 -0.2869318  -0.14614408
 -0.14862235  0.13159083  0.30045074  0.18993868 -0.44787756  0.42662022
 -0.14582221  0.05700624  0.6626732   0.3428317  -0.28020197  0.07731097]"
Superman II,"[-0.15067099 -0.361935   -0.08901384  0.08441275 -0.09223152  0.15016401
  0.48075658  0.23825371 -0.02195567  0.35087517  0.02921796  0.08761559
 -0.27735892 -0.17857261 -0.12173683 -0.39564174 -0.07284128  0.18087608
  0.08081885  0.0398513  -0.25609154  0.05238985 -0.30701414 -0.35415673
  0.27237186 -0.04034105  0.49410394  0.5466914   0.0859977   0.16141027
 -0.17399806 -0.09009244  0.4408392   0.10946391  0.00678176  0.05168666
  0.03544671  0.0886962  -0.07341949 -0.1416287  -0.14534326  0.05964483
 -0.23916791  0.14298277 -0.10868947  0.05877399  0.26182798  0.16227683
  0.13252154 -0.25946411 -0.34660396 -0.1093313   0.0514749  -0.2903937
 -0.04502892  0.00959081 -0.26756167  0.182457    0.20443085 -0.14871944
  0.0776931  -0.38624164 -0.08017221 -0.14355357  0.1549026  -0.08247654
  0.27853206 -0.08750819  0.01719905  0.5309923   0.05643214  0.10605059
  0.28116292  0.02994627 -0.19315897 -0.4300464  -0.43128562 -0.13206515
 -0.1530224  -0.3048757  -0.08622349  0.24662332 -0.4443971  -0.06148721
  0.19443175  0.17483714 -0.13603075 -0.02210271 -0.45334736  0.43808073
 -0.13621359 -0.00650611  0.4567705   0.29226422  0.11883879  0.08214779]"
Boxing Helena,"[ 0.07825296 -0.09421491 -0.03692744  0.00263687 -0.04663324  0.0920287
  0.42959073 -0.18319967  0.22188704  0.14375678  0.20180212 -0.20131381
 -0.29007298  0.05956594 -0.19688474 -0.22565673 -0.16589078  0.01475231
  0.03004039 -0.06505191 -0.1862202   0.14487694  0.0345306  -0.3409606
  0.04806911 -0.03606645  0.33338803  0.00616048  0.00952362  0.1547504
 -0.09669361  0.036616    0.49646866 -0.16141571  0.09016162 -0.16081244
  0.05329095 -0.02685961  0.03780318  0.21560301 -0.08658902  0.21127483
 -0.2146405   0.10697266  0.12818211  0.11803735  0.09810539  0.22345209
  0.28383723 -0.13890415 -0.3443408   0.0046586   0.03338953 -0.20103638
 -0.08052237  0.1848012  -0.21722308 -0.04800861 -0.02460415 -0.0549929
  0.1510619  -0.33568165 -0.23837921  0.13890697  0.00494277 -0.00057152
  0.06658071 -0.213938    0.06027934  0.16737935  0.00962799  0.07323432
 -0.25006047  0.02673514 -0.2764681  -0.2298295  -0.09437332 -0.14516151
  0.00924978 -0.15814298 -0.26538286 -0.02435846 -0.36488348  0.04168487
  0.16482733  0.27830288  0.15250777  0.18746874 -0.06597658  0.43584576
  0.00312086 -0.03560668  0.40057886  0.31907433 -0.29191783 -0.00156138]"
